BLDG_TYPE,building_type,contains_housing,building_type2,building_type3
C133,Super Regional Shopping Center,no,,
C170,Bowling Alley,no,,
C506,"Svc Station w Conv, Retail, Restaurant and Carwash",no,,
C505,"Svc Station w Conv, Carwash, and Restaurant",no,,
C700,Theater,no,,
C180,Supper Club,no,,
C501,Svc Station wo Conv Store,no,,
C104,Mobile Home Parks,yes,Mobile Home Park,Mobile home park
C360,Radio or TV Station,no,,
C370,Hospital,no,,
C605,Hotel - Extended Stay,no,,
C007,Townhouse - Commercial,yes,Townhouse,Townhouse
C015,Triplex - commercial,yes,Triplex,[assign to old/new style duplex/triplex based on YR_BUILT]
C404,Lumber Yards,no,,
C005,Colonial - commercial,yes,Colonial,Colonial
C010,Cottage - commercial,yes,Cottage,Cottage
C018,Milwaukee Bungalow - commercial,yes,Bungalow,Bungalow
C100,Apartments - 8 or more units,yes,[specify apartment size group based on NR_UNITS],Apartment building
C132,Community Shopping Center,no,,
C314,Office Building - Class D,no,,
C380,Correctional Institution,no,,
C012,Duplex New/Style - commercial,yes,New Style Duplex,New style duplex/triplex
C013,Duplex - Cottage - commercial,yes,Old Style Duplex,Old style duplex/triplex
C135,Department Store,no,,
C606,Hotel - Long Term Residents,no,,
